illusion_strength,true_diff,n_trials,n_positive,prop_positive
7.0,0.04,110,1,0.00909090909090909
7.0,0.06565,110,6,0.05454545454545454
7.0,0.10044,110,13,0.11818181818181818
7.0,0.14575,110,24,0.21818181818181817
7.0,0.20297,110,72,0.6545454545454545
7.0,0.27349,110,87,0.7909090909090909
7.0,0.3587,110,77,0.7
7.0,0.46,110,104,0.9454545454545454
7.0,0.57877,110,110,1.0
7.0,0.71641,110,110,1.0
7.0,0.87429,110,110,1.0
7.0,1.05382,110,110,1.0
14.0,-0.46,110,0,0.0
14.0,-0.3587,110,0,0.0
14.0,-0.27349,110,0,0.0
14.0,-0.20297,110,4,0.03636363636363636
14.0,-0.14575,110,8,0.07272727272727272
14.0,-0.10044,110,9,0.08181818181818182
14.0,-0.06565,110,15,0.13636363636363635
14.0,-0.04,110,19,0.17272727272727273
14.0,0.04,110,0,0.0
14.0,0.06565,110,5,0.045454545454545456
14.0,0.10044,110,1,0.00909090909090909
14.0,0.14575,110,34,0.3090909090909091
14.0,0.20297,110,48,0.43636363636363634
14.0,0.27349,110,54,0.4909090909090909
14.0,0.3587,110,108,0.9818181818181818
14.0,0.46,110,102,0.9272727272727272
14.0,0.57877,110,108,0.9818181818181818
14.0,0.71641,110,108,0.9818181818181818
14.0,0.87429,110,110,1.0
14.0,1.05382,110,110,1.0
21.0,-0.46,110,0,0.0
21.0,-0.3587,110,0,0.0
21.0,-0.27349,110,0,0.0
21.0,-0.20297,110,0,0.0
21.0,-0.14575,110,6,0.05454545454545454
21.0,-0.10044,110,4,0.03636363636363636
21.0,-0.06565,110,8,0.07272727272727272
21.0,-0.04,110,11,0.1
21.0,0.04,110,0,0.0
21.0,0.06565,110,4,0.03636363636363636
21.0,0.10044,110,8,0.07272727272727272
21.0,0.14575,110,23,0.20909090909090908
21.0,0.20297,110,35,0.3181818181818182
21.0,0.27349,110,93,0.8454545454545455
21.0,0.3587,110,87,0.7909090909090909
21.0,0.46,110,107,0.9727272727272728
21.0,0.57877,110,106,0.9636363636363636
21.0,0.71641,110,110,1.0
21.0,0.87429,110,110,1.0
21.0,1.05382,110,110,1.0
28.0,-0.46,110,0,0.0
28.0,-0.3587,110,0,0.0
28.0,-0.27349,110,2,0.01818181818181818
28.0,-0.20297,110,4,0.03636363636363636
28.0,-0.14575,110,16,0.14545454545454545
28.0,-0.10044,110,17,0.15454545454545454
28.0,-0.06565,110,28,0.2545454545454545
28.0,-0.04,110,49,0.44545454545454544
28.0,0.04,110,0,0.0
28.0,0.06565,110,0,0.0
28.0,0.10044,110,0,0.0
28.0,0.14575,110,0,0.0
28.0,0.20297,110,13,0.11818181818181818
28.0,0.27349,110,48,0.43636363636363634
28.0,0.3587,110,107,0.9727272727272728
28.0,0.46,110,93,0.8454545454545455
28.0,0.57877,110,106,0.9636363636363636
28.0,0.71641,110,110,1.0
28.0,0.87429,110,110,1.0
28.0,1.05382,110,110,1.0
35.0,-0.46,110,0,0.0
35.0,-0.3587,110,0,0.0
35.0,-0.27349,110,1,0.00909090909090909
35.0,-0.20297,110,9,0.08181818181818182
35.0,-0.14575,110,8,0.07272727272727272
35.0,-0.10044,110,31,0.2818181818181818
35.0,-0.06565,110,55,0.5
35.0,-0.04,110,84,0.7636363636363637
35.0,0.04,110,0,0.0
35.0,0.06565,110,1,0.00909090909090909
35.0,0.10044,110,5,0.045454545454545456
35.0,0.14575,110,1,0.00909090909090909
35.0,0.20297,110,28,0.2545454545454545
35.0,0.27349,110,37,0.33636363636363636
35.0,0.3587,110,43,0.39090909090909093
35.0,0.46,110,110,1.0
35.0,0.57877,110,109,0.990909090909091
35.0,0.71641,110,110,1.0
35.0,0.87429,110,109,0.990909090909091
35.0,1.05382,110,110,1.0
42.0,-0.46,110,0,0.0
42.0,-0.3587,110,3,0.02727272727272727
42.0,-0.27349,110,4,0.03636363636363636
42.0,-0.20297,110,25,0.22727272727272727
42.0,-0.14575,110,22,0.2
42.0,-0.10044,110,42,0.38181818181818183
42.0,-0.06565,110,87,0.7909090909090909
42.0,-0.04,110,91,0.8272727272727273
42.0,0.04,110,0,0.0
42.0,0.06565,110,0,0.0
42.0,0.10044,110,0,0.0
42.0,0.14575,110,3,0.02727272727272727
42.0,0.20297,110,1,0.00909090909090909
42.0,0.27349,110,21,0.19090909090909092
42.0,0.3587,110,52,0.4727272727272727
42.0,0.46,110,92,0.8363636363636363
42.0,0.57877,110,103,0.9363636363636364
42.0,0.71641,110,107,0.9727272727272728
42.0,0.87429,110,109,0.990909090909091
42.0,1.05382,110,106,0.9636363636363636
49.0,-0.46,110,0,0.0
49.0,-0.3587,110,2,0.01818181818181818
49.0,-0.27349,110,14,0.12727272727272726
49.0,-0.20297,110,57,0.5181818181818182
49.0,-0.14575,110,54,0.4909090909090909
49.0,-0.10044,110,88,0.8
49.0,-0.06565,110,101,0.9181818181818182
49.0,-0.04,110,66,0.6
49.0,0.04,110,0,0.0
49.0,0.06565,110,0,0.0
49.0,0.10044,110,0,0.0
49.0,0.14575,110,0,0.0
49.0,0.20297,110,0,0.0
49.0,0.27349,110,9,0.08181818181818182
49.0,0.3587,110,24,0.21818181818181817
49.0,0.46,110,44,0.4
49.0,0.57877,110,100,0.9090909090909091
49.0,0.71641,110,91,0.8272727272727273
49.0,0.87429,110,106,0.9636363636363636
49.0,1.05382,110,110,1.0
