species,illusion,k_abs,p_slope,p_full,sigma_dir_pos,sigma_dir_neg,magnitude_shared,magnitude_slope_free,converged,rejects_shared_slope
vlm,MullerLyer,7.0,0.030718076646011908,0.1977314850934134,0.1266,0.02652,0.31501,0.27255,True,False
vlm,Ponzo,1.0,0.0025278128481405634,0.02773280356099122,0.09107,0.12275,0.03738,0.0397,True,False
vlm,Ponzo,2.0,1.332441725228898e-08,4.5608636889252906e-07,0.06811,0.12702,-0.00296,-0.00084,True,True
vlm,Ponzo,3.0,0.24826682390448973,0.721305026373088,0.09946,0.08875,0.02844,0.02836,True,False
vlm,Ponzo,4.0,0.027966920063142987,0.0008337158301938902,0.01108,0.05525,0.04714,0.06044,True,False
vlm,Ponzo,5.0,5.144053185246068e-05,0.0009412885660622538,0.04642,0.0727,0.01998,0.02024,True,True
vlm,Ponzo,6.0,0.9105245633078161,0.30743521596130774,0.06223,0.06142,-0.00409,-0.00405,True,False
vlm,Ponzo,7.0,0.007757578796082693,0.0691267423792676,0.07756,0.05795,0.05735,0.05807,True,False
vlm,VerticalHorizontal,1.0,2.6435909588416185e-54,6.3517921053963926e-52,0.00204,0.04225,0.25844,0.11447,True,True
vlm,VerticalHorizontal,2.0,2.8219776773783645e-13,1.5475467533123989e-12,0.0074,0.05852,0.11399,0.11511,True,True
vlm,VerticalHorizontal,3.0,6.092773486392504e-35,1.390073027972966e-44,0.02537,0.12503,0.1271,0.139,True,True
vlm,VerticalHorizontal,4.0,1.0,0.12208768296480892,0.03151,0.00096,0.3533,0.35959,True,False
vlm,VerticalHorizontal,5.0,0.0003544071061521249,1.0,0.03256,0.06562,0.13779,0.14435,True,True
vlm,VerticalHorizontal,6.0,0.05768569208988297,0.500054413956613,0.05617,0.0344,0.17687,0.17379,True,False
vlm,VerticalHorizontal,7.0,1.0,1.0,0.15106,0.00079,0.27286,0.26449,True,False
