illusion_strength,true_diff,n_trials,n_positive,prop_positive,illusion,strength_sign_flipped,shared,species,k_abs,direction
-28.0,0.27349,110,110,1.0,MullerLyer,False,True,gpt-5.2,4.0,1.0
-28.0,0.3587,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-28.0,0.46,110,110,1.0,MullerLyer,False,True,gpt-5.2,4.0,1.0
-28.0,0.57877,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-28.0,0.71641,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-28.0,0.87429,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-28.0,1.05382,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-21.0,-0.46,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-21.0,-0.3587,110,0,0.0,MullerLyer,False,True,gpt-5.2,3.0,-1.0
-21.0,-0.27349,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-21.0,-0.20297,110,0,0.0,MullerLyer,False,True,gpt-5.2,3.0,-1.0
-21.0,-0.14575,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-21.0,-0.10044,110,0,0.0,MullerLyer,False,True,gpt-5.2,3.0,-1.0
-21.0,-0.06565,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-21.0,-0.04,110,0,0.0,MullerLyer,False,True,gpt-5.2,3.0,-1.0
-21.0,0.04,110,104,0.9454545454545454,MullerLyer,False,True,gpt-5.2,3.0,1.0
-21.0,0.06565,110,78,0.7090909090909091,MullerLyer,False,False,gpt-5.2,,
-21.0,0.10044,110,97,0.8818181818181818,MullerLyer,False,True,gpt-5.2,3.0,1.0
-21.0,0.14575,110,103,0.9363636363636364,MullerLyer,False,False,gpt-5.2,,
-21.0,0.20297,110,110,1.0,MullerLyer,False,True,gpt-5.2,3.0,1.0
-21.0,0.27349,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-21.0,0.3587,110,110,1.0,MullerLyer,False,True,gpt-5.2,3.0,1.0
-21.0,0.46,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-21.0,0.57877,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-21.0,0.71641,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-21.0,0.87429,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-21.0,1.05382,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-14.0,-0.46,110,0,0.0,MullerLyer,False,True,gpt-5.2,2.0,-1.0
-14.0,-0.3587,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-14.0,-0.27349,110,0,0.0,MullerLyer,False,True,gpt-5.2,2.0,-1.0
-14.0,-0.20297,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-14.0,-0.14575,110,0,0.0,MullerLyer,False,True,gpt-5.2,2.0,-1.0
-14.0,-0.10044,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-14.0,-0.06565,110,0,0.0,MullerLyer,False,True,gpt-5.2,2.0,-1.0
-14.0,-0.04,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-14.0,0.04,110,66,0.6,MullerLyer,False,False,gpt-5.2,,
-14.0,0.06565,110,83,0.7545454545454545,MullerLyer,False,True,gpt-5.2,2.0,1.0
-14.0,0.10044,110,98,0.8909090909090909,MullerLyer,False,False,gpt-5.2,,
-14.0,0.14575,110,102,0.9272727272727272,MullerLyer,False,True,gpt-5.2,2.0,1.0
-14.0,0.20297,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-14.0,0.27349,110,110,1.0,MullerLyer,False,True,gpt-5.2,2.0,1.0
-14.0,0.3587,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-14.0,0.46,110,110,1.0,MullerLyer,False,True,gpt-5.2,2.0,1.0
-14.0,0.57877,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-14.0,0.71641,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-14.0,0.87429,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-14.0,1.05382,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-7.0,-0.46,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-7.0,-0.3587,110,0,0.0,MullerLyer,False,True,gpt-5.2,1.0,-1.0
-7.0,-0.27349,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-7.0,-0.20297,110,0,0.0,MullerLyer,False,True,gpt-5.2,1.0,-1.0
-7.0,-0.14575,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-7.0,-0.10044,110,0,0.0,MullerLyer,False,True,gpt-5.2,1.0,-1.0
-7.0,-0.06565,110,0,0.0,MullerLyer,False,False,gpt-5.2,,
-7.0,-0.04,110,0,0.0,MullerLyer,False,True,gpt-5.2,1.0,-1.0
-7.0,0.04,110,31,0.2818181818181818,MullerLyer,False,True,gpt-5.2,1.0,1.0
-7.0,0.06565,110,74,0.6727272727272727,MullerLyer,False,False,gpt-5.2,,
-7.0,0.10044,110,67,0.6090909090909091,MullerLyer,False,True,gpt-5.2,1.0,1.0
-7.0,0.14575,110,100,0.9090909090909092,MullerLyer,False,False,gpt-5.2,,
-7.0,0.20297,110,110,1.0,MullerLyer,False,True,gpt-5.2,1.0,1.0
-7.0,0.27349,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-7.0,0.3587,110,110,1.0,MullerLyer,False,True,gpt-5.2,1.0,1.0
-7.0,0.46,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-7.0,0.57877,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-7.0,0.71641,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-7.0,0.87429,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
-7.0,1.05382,110,110,1.0,MullerLyer,False,False,gpt-5.2,,
0.0,-0.46,110,0,0.0,MullerLyer,False,True,gpt-5.2,,
0.0,-0.3587,110,0,0.0,MullerLyer,False,True,gpt-5.2,,
0.0,-0.27349,110,0,0.0,MullerLyer,False,True,gpt-5.2,,
0.0,-0.20297,110,0,0.0,MullerLyer,False,True,gpt-5.2,,
0.0,-0.14575,110,0,0.0,MullerLyer,False,True,gpt-5.2,,
0.0,-0.10044,110,0,0.0,MullerLyer,False,True,gpt-5.2,,
0.0,-0.06565,110,0,0.0,MullerLyer,False,True,gpt-5.2,,
