species,illusion,k_abs,n_cells,n_trials,grid_max,illusion_strength_abs,illusion_magnitude,magnitude_ci_low,magnitude_ci_high,magnitude_pct,magnitude_pct_ci_low,magnitude_pct_ci_high,side_bias,sigma,fit_r2,converged,saturated,magnitude_jnd,magnitude_jnd_ci_low,magnitude_jnd_ci_high,baseline_jnd,reportable,exceeds_grid,ci_width_pct,unconstrained,fit_status
vlm,Delboeuf,6.0,16,1600,0.7,1.86,0.09564,0.08324,0.10798,13.663,11.891,15.426,-0.09092,0.05961,0.99742,True,False,0.8658,0.7535,0.9775,0.11047,True,False,3.535,False,measured
vlm,Delboeuf,7.0,16,1600,0.55124,2.17,0.07279,0.06191,0.0835,13.205,11.231,15.148,-0.08553,0.07698,0.98878,True,False,0.6589,0.5604,0.7559,0.11047,True,False,3.917,False,measured
vlm,Ebbinghaus,1.0,16,1600,0.55124,0.29,-0.03683,-0.04637,-0.02732,-6.681,-8.412,-4.956,-0.16672,0.0654,0.99536,True,False,-0.3202,-0.4031,-0.2375,0.11503,True,False,3.456,False,measured
vlm,Ebbinghaus,2.0,16,1600,0.7,0.58,0.07861,0.06313,0.09418,11.23,9.019,13.454,-0.12744,0.13351,0.99649,True,False,0.6834,0.5488,0.8187,0.11503,True,False,4.435,False,measured
vlm,Ebbinghaus,3.0,16,1600,0.55124,0.87,0.04875,0.03035,0.06729,8.844,5.506,12.207,0.00909,0.22453,0.82209,True,False,0.4238,0.2638,0.585,0.11503,True,False,6.701,False,measured
vlm,Ebbinghaus,4.0,16,1600,0.7,1.16,0.11689,0.10089,0.13356,16.699,14.413,19.08,-0.11877,0.09787,0.93799,True,False,1.0162,0.8771,1.1611,0.11503,True,False,4.667,False,measured
vlm,Ebbinghaus,5.0,16,1600,0.55124,1.45,0.04754,0.02143,0.06844,8.624,3.888,12.416,-0.00286,0.02271,0.90062,True,False,0.4133,0.1863,0.595,0.11503,True,False,8.528,False,measured
vlm,Ebbinghaus,6.0,16,1600,0.7,1.74,0.16944,0.14798,0.19089,24.206,21.14,27.27,-0.08433,0.23379,0.92009,True,False,1.473,1.2864,1.6595,0.11503,True,False,6.13,False,measured
vlm,Ebbinghaus,7.0,16,1600,0.55124,2.03,0.06582,0.05305,0.07951,11.94,9.624,14.424,-0.1553,0.08116,0.98025,True,False,0.5722,0.4612,0.6912,0.11503,True,False,4.8,False,measured
vlm,MullerLyer,1.0,16,1760,0.3587,7.0,0.08604,0.07563,0.09659,23.987,21.084,26.928,0.14688,0.11245,0.93681,True,False,1.5872,1.3951,1.7818,0.05421,True,False,5.844,False,measured
vlm,MullerLyer,2.0,16,1760,0.46,14.0,0.12036,0.10898,0.13194,26.165,23.691,28.683,0.13157,0.11204,0.9824,True,False,2.2203,2.0103,2.4339,0.05421,True,False,4.992,False,measured
vlm,MullerLyer,3.0,16,1760,0.3587,21.0,0.1261,0.11735,0.13502,35.155,32.715,37.641,0.1298,0.07855,0.95273,True,False,2.3261,2.1647,2.4907,0.05421,True,False,4.926,False,measured
