species,illusion,illusion_strength,err_pos_diff,err_neg_diff,err_overall,err_ci_low,err_ci_high,asymmetry,n_errors,n_trials
vlm,VerticalHorizontal,-57.0,0.02,0.0,0.01,0.00508,0.01961,0.02,8,800
vlm,VerticalHorizontal,-47.5,0.0575,0.0,0.02875,0.01923,0.04277,0.0575,23,800
vlm,VerticalHorizontal,-38.0,0.115,0.0,0.0575,0.04338,0.07585,0.115,46,800
vlm,VerticalHorizontal,-28.5,0.0,0.0,0.0,0.0,0.00478,0.0,0,800
vlm,VerticalHorizontal,-19.0,0.0,0.0,0.0,0.0,0.00478,0.0,0,800
vlm,VerticalHorizontal,-9.5,0.0,0.0,0.0,0.0,0.00478,0.0,0,800
vlm,VerticalHorizontal,0.0,0.005,0.01375,0.00937,0.00569,0.01541,-0.00875,15,1600
vlm,VerticalHorizontal,9.5,0.8725,0.0475,0.46,0.42574,0.49465,0.825,368,800
vlm,VerticalHorizontal,19.0,0.5025,0.3925,0.4475,0.41338,0.48213,0.11,358,800
vlm,VerticalHorizontal,28.5,0.695,0.4725,0.58375,0.54927,0.61743,0.2225,467,800
vlm,VerticalHorizontal,38.0,0.9925,0.7025,0.8475,0.82093,0.87075,0.29,678,800
vlm,VerticalHorizontal,47.5,0.8825,0.3575,0.62,0.58587,0.65299,0.525,496,800
vlm,VerticalHorizontal,57.0,0.875,0.3925,0.63375,0.5998,0.66642,0.4825,507,800
vlm,VerticalHorizontal,66.5,0.995,0.22,0.6075,0.57323,0.64075,0.775,486,800
