species,illusion,k_abs,direction,n_levels,n_trials,pse,pse_fitted,crosses_half,pse_ci_low,pse_ci_high,sigma,lapse_lo,lapse_hi,fit_r2,converged,fit_status,reportable,max_drawdown,pse_abs_frac
human,Ebbinghaus,7.0,-1,8,2048,0.28211,0.28211,True,0.25267,0.33588,0.14887,0.04824,0.13721,0.99619,True,measured,True,0.0117,0.5118
human,Ebbinghaus,7.0,1,8,2048,-0.38556,-0.38556,True,-0.41011,-0.31838,0.22688,0.0,0.02971,0.99916,True,measured,True,0.0156,0.6994
human,MullerLyer,1.0,-1,8,2048,0.07081,0.07081,True,0.06133,0.08024,0.07887,0.03285,0.02953,0.99922,True,measured,True,0.0156,0.1974
human,MullerLyer,1.0,1,8,2048,-0.11576,-0.11576,True,-0.12525,-0.10638,0.07911,0.01569,0.04025,0.99534,True,measured,True,0.0156,0.3227
human,MullerLyer,2.0,-1,8,2048,0.14997,0.14997,True,0.14002,0.15998,0.08642,0.01222,0.01675,0.99613,True,measured,True,0.0039,0.326
human,MullerLyer,2.0,1,8,2048,-0.19186,-0.19186,True,-0.20283,-0.18115,0.08538,0.02608,0.0109,0.99943,True,measured,True,0.0156,0.4171
human,MullerLyer,3.0,-1,8,2048,0.20748,0.20748,True,0.18402,0.22798,0.10776,0.0272,0.03404,0.99938,True,measured,True,0.0039,0.5784
human,MullerLyer,3.0,1,8,2048,-0.24825,-0.24825,True,-0.2852,-0.21918,0.08644,0.11851,0.04085,0.9999,True,measured,True,0.0078,0.6921
human,MullerLyer,4.0,-1,8,2048,0.28044,0.28044,True,0.25513,0.29406,0.12503,0.016,0.0,0.99976,True,measured,True,0.0156,0.6097
human,MullerLyer,4.0,1,8,2048,-0.29634,-0.29634,True,-0.33264,-0.27402,0.09858,0.09337,0.01631,0.99963,True,measured,True,0.0039,0.6442
human,MullerLyer,5.0,-1,8,2048,0.30392,0.30392,True,0.22695,0.3381,0.12937,0.03199,0.07548,0.99866,True,measured,True,0.0117,0.8473
human,MullerLyer,5.0,1,8,2048,-0.3587,-0.3842,False,-0.41507,-0.26207,0.14466,0.0,0.03571,0.99829,True,bounded,True,0.0078,1.0711
human,MullerLyer,6.0,-1,8,2048,0.30601,0.30601,True,0.27355,0.38985,0.10703,0.01474,0.26109,0.99883,True,measured,True,0.0,0.6652
human,MullerLyer,6.0,1,8,2048,-0.30224,-0.30224,True,-0.37078,-0.27518,0.08993,0.35024,0.02386,0.99983,True,measured,True,0.0078,0.657
human,MullerLyer,7.0,-1,8,2048,0.3587,0.37833,False,0.24558,0.41064,0.16727,0.02842,0.0,0.99747,True,bounded,True,0.0156,1.0547
human,MullerLyer,7.0,1,8,2048,-0.3587,-0.30037,False,-0.47396,-0.27112,0.13895,0.45,0.03277,0.99807,False,bounded,True,0.0117,0.8374
human,Ponzo,1.0,-1,8,2048,0.04504,0.04504,True,0.03667,0.05328,0.0628,0.04734,0.04168,0.99852,True,measured,True,0.0039,0.1256
human,Ponzo,1.0,1,8,2048,-0.03556,-0.03556,True,-0.04439,-0.02706,0.07075,0.03022,0.03224,0.9987,True,measured,True,0.0039,0.0991
human,Ponzo,2.0,-1,8,2048,0.08047,0.08047,True,0.06969,0.09115,0.09163,0.01767,0.01288,0.99901,True,measured,True,0.0078,0.1749
human,Ponzo,2.0,1,8,2048,-0.05545,-0.05545,True,-0.06546,-0.04536,0.08062,0.02586,0.0162,0.99758,True,measured,True,0.0078,0.1205
human,Ponzo,3.0,-1,8,2048,0.08875,0.08875,True,0.07861,0.09868,0.08294,0.0371,0.02678,0.99731,True,measured,True,0.0,0.2474
human,Ponzo,3.0,1,8,2048,-0.08368,-0.08368,True,-0.09496,-0.07246,0.07896,0.07153,0.04471,0.99729,True,measured,True,0.0195,0.2333
human,Ponzo,4.0,-1,8,2048,0.10899,0.10899,True,0.0957,0.1217,0.10202,0.00679,0.03721,0.99738,True,measured,True,0.0156,0.2369
human,Ponzo,4.0,1,8,2048,-0.11456,-0.11456,True,-0.12603,-0.10296,0.09782,0.03522,0.00782,0.99986,True,measured,True,0.0,0.249
human,Ponzo,5.0,-1,8,2048,0.10636,0.10636,True,0.09355,0.11937,0.09287,0.02609,0.07887,0.99795,True,measured,True,0.0039,0.2965
human,Ponzo,5.0,1,8,2048,-0.13093,-0.13093,True,-0.14428,-0.11804,0.08538,0.09809,0.02122,0.99797,True,measured,True,0.0273,0.365
human,Ponzo,6.0,-1,8,2048,0.15367,0.15367,True,0.13788,0.16977,0.11291,0.01094,0.09572,0.99947,True,measured,True,0.0078,0.3341
human,Ponzo,6.0,1,8,2048,-0.18759,-0.18759,True,-0.20413,-0.17181,0.10292,0.10342,0.01939,0.99912,True,measured,True,0.0,0.4078
human,Ponzo,7.0,-1,8,2048,0.18216,0.18216,True,0.15377,0.2322,0.10318,0.02745,0.35358,0.99925,True,measured,True,0.0039,0.5078
human,Ponzo,7.0,1,8,2048,-0.2516,-0.2516,True,-0.37413,-0.2042,0.12143,0.37317,0.02998,0.99769,True,measured,True,0.0078,0.7014
human,VerticalHorizontal,1.0,-1,8,2048,0.02251,0.02251,True,0.0138,0.03124,0.06326,0.04545,0.06449,0.99559,True,measured,True,0.0039,0.1138
human,VerticalHorizontal,1.0,1,8,2048,-0.03051,-0.03051,True,-0.04166,-0.01969,0.07057,0.09287,0.0323,0.98941,True,measured,True,0.0117,0.1543
human,VerticalHorizontal,2.0,-1,8,2048,0.06263,0.06263,True,0.05206,0.07343,0.07844,0.01178,0.07425,0.99979,True,measured,True,0.0,0.261
human,VerticalHorizontal,2.0,1,8,2048,-0.05671,-0.05671,True,-0.06801,-0.04552,0.07393,0.09818,0.02789,0.99739,True,measured,True,0.0,0.2363
human,VerticalHorizontal,3.0,-1,8,2048,0.10952,0.10952,True,0.08849,0.13805,0.07776,0.02958,0.13704,0.99575,True,measured,True,0.0,0.5539
human,VerticalHorizontal,3.0,1,8,2048,-0.0873,-0.0873,True,-0.10706,-0.07445,0.05487,0.30239,0.04643,0.99748,True,measured,True,0.0,0.4415
human,VerticalHorizontal,4.0,-1,8,2048,0.12038,0.12038,True,0.10182,0.14981,0.08344,0.01723,0.16249,0.99567,True,measured,True,0.0078,0.5016
human,VerticalHorizontal,4.0,1,8,2048,-0.11336,-0.11336,True,-0.13902,-0.09669,0.08264,0.15184,0.01834,0.99783,True,measured,True,0.0039,0.4723
human,VerticalHorizontal,5.0,-1,8,2048,0.16635,0.16635,True,0.11279,0.19574,0.09042,0.03402,0.11423,0.99903,True,measured,True,0.0039,0.8413
human,VerticalHorizontal,5.0,1,8,2048,-0.1794,-0.1794,True,-0.19367,-0.1117,0.10541,0.0,0.02701,0.99756,True,measured,True,0.0,0.9073
human,VerticalHorizontal,6.0,-1,8,2048,0.14773,0.14773,True,0.11873,0.19028,0.09094,0.01809,0.18786,0.99977,True,measured,True,0.0,0.6155
human,VerticalHorizontal,6.0,1,8,2048,-0.12799,-0.12799,True,-0.14713,-0.11402,0.0569,0.30863,0.02441,0.99851,True,measured,True,0.0273,0.5333
human,VerticalHorizontal,7.0,-1,8,2048,0.11016,0.11016,True,0.09909,0.14153,0.04931,0.03058,0.4452,0.99964,True,measured,True,0.0039,0.5572
human,VerticalHorizontal,7.0,1,8,2048,-0.1662,-0.1662,True,-0.20396,-0.10857,0.09659,0.15113,0.0319,0.99798,True,measured,True,0.0117,0.8406
