model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,Delboeuf,-0.93,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-0.93,0.7,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-0.62,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-0.62,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-0.62,-0.4252,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-0.62,-0.32001,25,10,0.4,0.6,Left
gpt-5.2,Delboeuf,-0.62,-0.23378,25,12,0.48,0.52,Left
gpt-5.2,Delboeuf,-0.62,-0.16462,25,18,0.72,0.28,Left
gpt-5.2,Delboeuf,-0.62,-0.11066,25,24,0.96,0.04,Left
gpt-5.2,Delboeuf,-0.62,-0.07,25,23,0.92,0.08,Left
gpt-5.2,Delboeuf,-0.62,0.07,25,0,0.0,0.0,Left
gpt-5.2,Delboeuf,-0.62,0.11066,25,0,0.0,0.0,Left
gpt-5.2,Delboeuf,-0.62,0.16462,25,2,0.08,0.08,Left
gpt-5.2,Delboeuf,-0.62,0.23378,25,0,0.0,0.0,Left
gpt-5.2,Delboeuf,-0.62,0.32001,25,11,0.44,0.44,Left
gpt-5.2,Delboeuf,-0.62,0.4252,25,2,0.08,0.08,Left
gpt-5.2,Delboeuf,-0.62,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-0.62,0.7,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-0.31,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-0.31,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-0.31,-0.4252,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,-0.31,-0.32001,25,2,0.08,0.92,Left
gpt-5.2,Delboeuf,-0.31,-0.23378,25,17,0.68,0.32,Left
gpt-5.2,Delboeuf,-0.31,-0.16462,25,24,0.96,0.04,Left
gpt-5.2,Delboeuf,-0.31,-0.11066,25,25,1.0,0.0,Left
gpt-5.2,Delboeuf,-0.31,-0.07,25,25,1.0,0.0,Left
gpt-5.2,Delboeuf,-0.31,0.07,25,0,0.0,0.0,Left
gpt-5.2,Delboeuf,-0.31,0.11066,25,0,0.0,0.0,Left
gpt-5.2,Delboeuf,-0.31,0.16462,25,0,0.0,0.0,Left
gpt-5.2,Delboeuf,-0.31,0.23378,25,0,0.0,0.0,Left
gpt-5.2,Delboeuf,-0.31,0.32001,25,1,0.04,0.04,Left
gpt-5.2,Delboeuf,-0.31,0.4252,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-0.31,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,-0.31,0.7,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.0,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.0,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.0,-0.4252,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.0,-0.32001,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.0,-0.23378,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.0,-0.16462,25,0,0.0,1.0,Left
gpt-5.2,Delboeuf,0.0,-0.11066,25,1,0.04,0.96,Left
gpt-5.2,Delboeuf,0.0,-0.07,25,25,1.0,0.0,Left
gpt-5.2,Delboeuf,0.0,0.07,25,25,1.0,1.0,Left
gpt-5.2,Delboeuf,0.0,0.11066,25,25,1.0,1.0,Left
