illusion_strength,true_diff,n_trials,n_positive,prop_positive
1.24,-0.55124,40,0,0.0
1.24,-0.4252,40,0,0.0
1.24,-0.32001,40,0,0.0
1.24,-0.23378,40,0,0.0
1.24,-0.16462,40,0,0.0
1.24,-0.11066,40,0,0.0
1.24,-0.07,40,9,0.225
1.24,0.07,40,40,1.0
1.24,0.11066,40,40,1.0
1.24,0.16462,40,40,1.0
1.24,0.23378,40,40,1.0
1.24,0.32001,40,40,1.0
1.24,0.4252,40,40,1.0
1.24,0.55124,40,40,1.0
1.24,0.7,40,40,1.0
1.55,-0.7,40,0,0.0
1.55,-0.55124,40,0,0.0
1.55,-0.4252,40,0,0.0
1.55,-0.32001,40,0,0.0
1.55,-0.23378,40,1,0.025
1.55,-0.16462,40,0,0.0
1.55,-0.11066,40,1,0.025
1.55,-0.07,40,40,1.0
1.55,0.07,40,40,1.0
1.55,0.11066,40,40,1.0
1.55,0.16462,40,40,1.0
1.55,0.23378,40,40,1.0
1.55,0.32001,40,40,1.0
1.55,0.4252,40,40,1.0
1.55,0.55124,40,40,1.0
1.55,0.7,40,40,1.0
1.86,-0.7,40,0,0.0
1.86,-0.55124,40,0,0.0
1.86,-0.4252,40,0,0.0
1.86,-0.32001,40,0,0.0
1.86,-0.23378,40,2,0.05
1.86,-0.16462,40,0,0.0
1.86,-0.11066,40,3,0.075
1.86,-0.07,40,3,0.075
1.86,0.07,40,40,1.0
1.86,0.11066,40,40,1.0
1.86,0.16462,40,40,1.0
1.86,0.23378,40,40,1.0
1.86,0.32001,40,40,1.0
1.86,0.4252,40,40,1.0
1.86,0.55124,40,40,1.0
1.86,0.7,40,40,1.0
2.17,-0.7,40,0,0.0
2.17,-0.55124,40,0,0.0
2.17,-0.4252,40,0,0.0
2.17,-0.32001,40,0,0.0
2.17,-0.23378,40,0,0.0
2.17,-0.16462,40,0,0.0
2.17,-0.11066,40,0,0.0
2.17,-0.07,40,8,0.2
2.17,0.07,40,40,1.0
2.17,0.11066,40,40,1.0
2.17,0.16462,40,40,1.0
2.17,0.23378,40,40,1.0
2.17,0.32001,40,40,1.0
2.17,0.4252,40,40,1.0
2.17,0.55124,40,40,1.0
2.17,0.7,40,40,1.0
