model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,DelboeufV12,-0.93,0.32001,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.93,0.4252,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.93,0.55124,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.93,0.7,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.62,-0.7,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-0.62,-0.55124,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-0.62,-0.4252,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-0.62,-0.32001,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-0.62,-0.23378,40,3,0.075,0.925,Left
gpt-5.2,DelboeufV12,-0.62,-0.16462,40,7,0.175,0.825,Left
gpt-5.2,DelboeufV12,-0.62,-0.11066,40,25,0.625,0.375,Left
gpt-5.2,DelboeufV12,-0.62,-0.07,40,40,1.0,0.0,Left
gpt-5.2,DelboeufV12,-0.62,0.07,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.62,0.11066,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.62,0.16462,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.62,0.23378,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.62,0.32001,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.62,0.4252,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.62,0.55124,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.62,0.7,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.31,-0.7,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-0.31,-0.55124,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-0.31,-0.4252,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,-0.31,-0.32001,40,1,0.025,0.975,Left
gpt-5.2,DelboeufV12,-0.31,-0.23378,40,25,0.625,0.375,Left
gpt-5.2,DelboeufV12,-0.31,-0.16462,40,33,0.825,0.175,Left
gpt-5.2,DelboeufV12,-0.31,-0.11066,40,40,1.0,0.0,Left
gpt-5.2,DelboeufV12,-0.31,-0.07,40,40,1.0,0.0,Left
gpt-5.2,DelboeufV12,-0.31,0.07,40,37,0.925,0.925,Left
gpt-5.2,DelboeufV12,-0.31,0.11066,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.31,0.16462,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.31,0.23378,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.31,0.32001,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.31,0.4252,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.31,0.55124,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,-0.31,0.7,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.0,-0.7,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.0,-0.55124,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.0,-0.4252,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.0,-0.32001,40,2,0.05,0.95,Left
gpt-5.2,DelboeufV12,0.0,-0.23378,40,9,0.225,0.775,Left
gpt-5.2,DelboeufV12,0.0,-0.16462,40,30,0.75,0.25,Left
