model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,Ebbinghaus,0.58,0.16462,25,21,0.84,0.84,Left
gpt-5.2,Ebbinghaus,0.58,0.23378,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,0.58,0.32001,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,0.58,0.4252,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,0.58,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,0.58,0.7,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,0.87,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,0.87,-0.55124,25,2,0.08,0.92,Left
gpt-5.2,Ebbinghaus,0.87,-0.4252,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,0.87,-0.32001,25,4,0.16,0.84,Left
gpt-5.2,Ebbinghaus,0.87,-0.23378,25,10,0.4,0.6,Left
gpt-5.2,Ebbinghaus,0.87,-0.16462,25,11,0.44,0.56,Left
gpt-5.2,Ebbinghaus,0.87,-0.11066,25,19,0.76,0.24,Left
gpt-5.2,Ebbinghaus,0.87,-0.07,25,20,0.8,0.2,Left
gpt-5.2,Ebbinghaus,0.87,0.07,25,18,0.72,0.72,Left
gpt-5.2,Ebbinghaus,0.87,0.11066,25,22,0.88,0.88,Left
gpt-5.2,Ebbinghaus,0.87,0.16462,25,20,0.8,0.8,Left
gpt-5.2,Ebbinghaus,0.87,0.23378,25,19,0.76,0.76,Left
gpt-5.2,Ebbinghaus,0.87,0.32001,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,0.87,0.4252,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,0.87,0.55124,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,0.87,0.7,25,25,1.0,1.0,Left
gpt-5.2,Ebbinghaus,1.16,-0.7,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,1.16,-0.55124,25,0,0.0,1.0,Left
gpt-5.2,Ebbinghaus,1.16,-0.4252,25,3,0.12,0.88,Left
gpt-5.2,Ebbinghaus,1.16,-0.32001,25,3,0.12,0.88,Left
gpt-5.2,Ebbinghaus,1.16,-0.23378,25,5,0.2,0.8,Left
gpt-5.2,Ebbinghaus,1.16,-0.16462,25,13,0.52,0.48,Left
gpt-5.2,Ebbinghaus,1.16,-0.11066,25,8,0.32,0.68,Left
gpt-5.2,Ebbinghaus,1.16,-0.07,25,11,0.44,0.56,Left
