illusion_strength,true_diff,n_trials,n_top,prop_top
28.0,-0.3587,20,0,0.0
28.0,-0.27349,20,2,0.1
28.0,-0.20297,20,4,0.2
28.0,-0.14575,20,13,0.65
28.0,-0.10044,20,11,0.55
28.0,-0.06565,20,16,0.8
28.0,-0.04,20,20,1.0
28.0,0.04,20,0,0.0
28.0,0.06565,20,0,0.0
28.0,0.10044,20,0,0.0
28.0,0.14575,20,0,0.0
28.0,0.20297,20,7,0.35
28.0,0.27349,20,17,0.85
28.0,0.3587,20,20,1.0
28.0,0.46,20,20,1.0
35.0,-0.46,20,0,0.0
35.0,-0.3587,20,0,0.0
35.0,-0.27349,20,1,0.05
35.0,-0.20297,20,5,0.25
35.0,-0.14575,20,5,0.25
35.0,-0.10044,20,12,0.6
35.0,-0.06565,20,12,0.6
35.0,-0.04,20,11,0.55
35.0,0.04,20,0,0.0
35.0,0.06565,20,0,0.0
35.0,0.10044,20,5,0.25
35.0,0.14575,20,1,0.05
35.0,0.20297,20,8,0.4
35.0,0.27349,20,19,0.95
35.0,0.3587,20,16,0.8
35.0,0.46,20,20,1.0
42.0,-0.46,20,0,0.0
42.0,-0.3587,20,2,0.1
42.0,-0.27349,20,3,0.15
42.0,-0.20297,20,6,0.3
42.0,-0.14575,20,10,0.5
42.0,-0.10044,20,10,0.5
42.0,-0.06565,20,8,0.4
42.0,-0.04,20,11,0.55
42.0,0.04,20,0,0.0
42.0,0.06565,20,0,0.0
42.0,0.10044,20,0,0.0
42.0,0.14575,20,3,0.15
42.0,0.20297,20,1,0.05
42.0,0.27349,20,8,0.4
42.0,0.3587,20,20,1.0
42.0,0.46,20,20,1.0
49.0,-0.46,20,0,0.0
49.0,-0.3587,20,1,0.05
49.0,-0.27349,20,2,0.1
49.0,-0.20297,20,3,0.15
49.0,-0.14575,20,12,0.6
49.0,-0.10044,20,15,0.75
49.0,-0.06565,20,18,0.9
49.0,-0.04,20,18,0.9
49.0,0.04,20,0,0.0
49.0,0.06565,20,0,0.0
49.0,0.10044,20,0,0.0
49.0,0.14575,20,0,0.0
49.0,0.20297,20,0,0.0
49.0,0.27349,20,4,0.2
49.0,0.3587,20,12,0.6
49.0,0.46,20,19,0.95
