model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,RodFrame,-8.0,-7.1,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-8.0,-5.37739,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-8.0,-3.89375,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-8.0,-2.64907,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-8.0,-1.64336,100,11,0.11,0.89,Left
gpt-5.2,RodFrame,-8.0,-0.87661,100,46,0.46,0.54,Left
gpt-5.2,RodFrame,-8.0,-0.34882,100,61,0.61,0.39,Left
gpt-5.2,RodFrame,-8.0,-0.06,100,45,0.45,0.55,Left
gpt-5.2,RodFrame,-8.0,0.06,100,27,0.27,0.27,Left
gpt-5.2,RodFrame,-8.0,0.34882,100,78,0.78,0.78,Left
gpt-5.2,RodFrame,-8.0,0.87661,100,86,0.86,0.86,Left
gpt-5.2,RodFrame,-8.0,1.64336,100,74,0.74,0.74,Left
gpt-5.2,RodFrame,-8.0,2.64907,100,98,0.98,0.98,Left
gpt-5.2,RodFrame,-8.0,3.89375,100,93,0.93,0.93,Left
gpt-5.2,RodFrame,-8.0,5.37739,100,61,0.61,0.61,Left
gpt-5.2,RodFrame,-8.0,7.1,100,85,0.85,0.85,Left
gpt-5.2,RodFrame,-8.0,9.06157,100,86,0.86,0.86,Left
gpt-5.2,RodFrame,-8.0,11.2621,100,28,0.28,0.28,Left
gpt-5.2,RodFrame,-8.0,13.7016,100,54,0.54,0.54,Left
gpt-5.2,RodFrame,-6.0,-13.7016,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-6.0,-11.2621,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-6.0,-9.06157,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-6.0,-7.1,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-6.0,-5.37739,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-6.0,-3.89375,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-6.0,-2.64907,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-6.0,-1.64336,100,34,0.34,0.66,Left
gpt-5.2,RodFrame,-6.0,-0.87661,100,65,0.65,0.35,Left
gpt-5.2,RodFrame,-6.0,-0.34882,100,38,0.38,0.62,Left
gpt-5.2,RodFrame,-6.0,-0.06,100,42,0.42,0.58,Left
gpt-5.2,RodFrame,-6.0,0.06,100,29,0.29,0.29,Left
gpt-5.2,RodFrame,-6.0,0.34882,100,93,0.93,0.93,Left
gpt-5.2,RodFrame,-6.0,0.87661,100,90,0.9,0.9,Left
gpt-5.2,RodFrame,-6.0,1.64336,100,57,0.57,0.57,Left
gpt-5.2,RodFrame,-6.0,2.64907,100,95,0.95,0.95,Left
gpt-5.2,RodFrame,-6.0,3.89375,100,97,0.97,0.97,Left
gpt-5.2,RodFrame,-6.0,5.37739,100,38,0.38,0.38,Left
gpt-5.2,RodFrame,-6.0,7.1,100,61,0.61,0.61,Left
gpt-5.2,RodFrame,-6.0,9.06157,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,-6.0,11.2621,100,23,0.23,0.23,Left
gpt-5.2,RodFrame,-6.0,13.7016,100,18,0.18,0.18,Left
gpt-5.2,RodFrame,-4.0,-13.7016,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-4.0,-11.2621,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-4.0,-9.06157,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-4.0,-7.1,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-4.0,-5.37739,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-4.0,-3.89375,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-4.0,-2.64907,100,1,0.01,0.99,Left
gpt-5.2,RodFrame,-4.0,-1.64336,100,49,0.49,0.51,Left
gpt-5.2,RodFrame,-4.0,-0.87661,100,78,0.78,0.22,Left
gpt-5.2,RodFrame,-4.0,-0.34882,100,84,0.84,0.16,Left
gpt-5.2,RodFrame,-4.0,-0.06,100,27,0.27,0.73,Left
gpt-5.2,RodFrame,-4.0,0.06,100,43,0.43,0.43,Left
gpt-5.2,RodFrame,-4.0,0.34882,100,72,0.72,0.72,Left
gpt-5.2,RodFrame,-4.0,0.87661,100,98,0.98,0.98,Left
gpt-5.2,RodFrame,-4.0,1.64336,100,80,0.8,0.8,Left
gpt-5.2,RodFrame,-4.0,2.64907,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,-4.0,3.89375,100,87,0.87,0.87,Left
gpt-5.2,RodFrame,-4.0,5.37739,100,43,0.43,0.43,Left
gpt-5.2,RodFrame,-4.0,7.1,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,-4.0,9.06157,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,-4.0,11.2621,100,93,0.93,0.93,Left
gpt-5.2,RodFrame,-4.0,13.7016,100,97,0.97,0.97,Left
gpt-5.2,RodFrame,-2.0,-13.7016,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-2.0,-11.2621,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-2.0,-9.06157,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-2.0,-7.1,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-2.0,-5.37739,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-2.0,-3.89375,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,-2.0,-2.64907,100,8,0.08,0.92,Left
gpt-5.2,RodFrame,-2.0,-1.64336,100,10,0.1,0.9,Left
gpt-5.2,RodFrame,-2.0,-0.87661,100,87,0.87,0.13,Left
gpt-5.2,RodFrame,-2.0,-0.34882,100,79,0.79,0.21,Left
gpt-5.2,RodFrame,-2.0,-0.06,100,49,0.49,0.51,Left
gpt-5.2,RodFrame,-2.0,0.06,100,44,0.44,0.44,Left
gpt-5.2,RodFrame,-2.0,0.34882,100,62,0.62,0.62,Left
gpt-5.2,RodFrame,-2.0,0.87661,100,98,0.98,0.98,Left
gpt-5.2,RodFrame,-2.0,1.64336,100,61,0.61,0.61,Left
gpt-5.2,RodFrame,-2.0,2.64907,100,85,0.85,0.85,Left
gpt-5.2,RodFrame,-2.0,3.89375,100,82,0.82,0.82,Left
gpt-5.2,RodFrame,-2.0,5.37739,100,70,0.7,0.7,Left
gpt-5.2,RodFrame,-2.0,7.1,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,-2.0,9.06157,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,-2.0,11.2621,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,-2.0,13.7016,100,90,0.9,0.9,Left
gpt-5.2,RodFrame,0.0,-13.7016,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,0.0,-11.2621,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,0.0,-9.06157,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,0.0,-7.1,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,0.0,-5.37739,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,0.0,-3.89375,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,0.0,-2.64907,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,0.0,-1.64336,100,6,0.06,0.94,Left
gpt-5.2,RodFrame,0.0,-0.87661,100,88,0.88,0.12,Left
gpt-5.2,RodFrame,0.0,-0.34882,100,91,0.91,0.09,Left
gpt-5.2,RodFrame,0.0,-0.06,100,74,0.74,0.26,Left
gpt-5.2,RodFrame,0.0,0.06,100,54,0.54,0.54,Left
gpt-5.2,RodFrame,0.0,0.34882,100,72,0.72,0.72,Left
gpt-5.2,RodFrame,0.0,0.87661,100,68,0.68,0.68,Left
gpt-5.2,RodFrame,0.0,1.64336,100,26,0.26,0.26,Left
gpt-5.2,RodFrame,0.0,2.64907,100,26,0.26,0.26,Left
gpt-5.2,RodFrame,0.0,3.89375,100,54,0.54,0.54,Left
gpt-5.2,RodFrame,0.0,5.37739,100,38,0.38,0.38,Left
gpt-5.2,RodFrame,0.0,7.1,100,80,0.8,0.8,Left
gpt-5.2,RodFrame,0.0,9.06157,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,0.0,11.2621,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,0.0,13.7016,100,84,0.84,0.84,Left
gpt-5.2,RodFrame,2.0,-13.7016,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,2.0,-11.2621,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,2.0,-9.06157,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,2.0,-7.1,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,2.0,-5.37739,100,45,0.45,0.55,Left
gpt-5.2,RodFrame,2.0,-3.89375,100,15,0.15,0.85,Left
gpt-5.2,RodFrame,2.0,-2.64907,100,47,0.47,0.53,Left
gpt-5.2,RodFrame,2.0,-1.64336,100,63,0.63,0.37,Left
gpt-5.2,RodFrame,2.0,-0.87661,100,63,0.63,0.37,Left
gpt-5.2,RodFrame,2.0,-0.34882,100,78,0.78,0.22,Left
gpt-5.2,RodFrame,2.0,-0.06,100,39,0.39,0.61,Left
gpt-5.2,RodFrame,2.0,0.06,100,25,0.25,0.25,Left
gpt-5.2,RodFrame,2.0,0.34882,100,46,0.46,0.46,Left
gpt-5.2,RodFrame,2.0,0.87661,100,64,0.64,0.64,Left
gpt-5.2,RodFrame,2.0,1.64336,100,56,0.56,0.56,Left
gpt-5.2,RodFrame,2.0,2.64907,100,56,0.56,0.56,Left
gpt-5.2,RodFrame,2.0,3.89375,100,68,0.68,0.68,Left
gpt-5.2,RodFrame,2.0,5.37739,100,97,0.97,0.97,Left
gpt-5.2,RodFrame,2.0,7.1,100,99,0.99,0.99,Left
gpt-5.2,RodFrame,2.0,9.06157,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,2.0,11.2621,100,99,0.99,0.99,Left
gpt-5.2,RodFrame,2.0,13.7016,100,99,0.99,0.99,Left
gpt-5.2,RodFrame,4.0,-13.7016,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,4.0,-11.2621,100,0,0.0,1.0,Left
